Fact_ID,State,Year,Population,FK_Substance_Group,FK_User_Type,Population_Totals,Population_Rates,FK_Age_Group
40241,Oklahoma,2006,299621,Marijuana,New Users,14,50.691,12_17
40242,Oregon,2006,297325,Marijuana,New Users,17,67.347,12_17
40243,Pennsylvania,2006,1018244,Marijuana,New Users,52,57.184,12_17
40244,Rhode Island,2006,85339,Marijuana,New Users,5,75.851,12_17
40245,South Carolina,2006,362886,Marijuana,New Users,17,49.872,12_17
40246,South Dakota,2006,66722,Marijuana,New Users,3,47.037,12_17
40247,Tennessee,2006,496587,Marijuana,New Users,24,55.75,12_17
40248,Texas,2006,2105817,Marijuana,New Users,95,51.409,12_17
40249,Utah,2006,243193,Marijuana,New Users,9,34.193,12_17
40250,Vermont,2006,50946,Marijuana,New Users,3,81.474,12_17
40251,Virginia,2006,617354,Marijuana,New Users,30,54.569,12_17
40252,Washington,2006,534929,Marijuana,New Users,26,55.514,12_17
40253,West Virginia,2006,136317,Marijuana,New Users,6,52.822,12_17
40254,Wisconsin,2006,467728,Marijuana,New Users,25,61.544,12_17
40255,Wyoming,2006,42925,Marijuana,New Users,2,67.516,12_17
40256,Alabama,2007,383012,Marijuana,New Users,16,45.213,12_17
40257,Alaska,2007,62685,Marijuana,New Users,3,61.479,12_17
40258,Arizona,2007,537098,Marijuana,New Users,25,54.975,12_17
40259,Arkansas,2007,232677,Marijuana,New Users,10,49.327,12_17
40260,California,2007,3209102,Marijuana,New Users,157,55.822,12_17
40261,Colorado,2007,387018,Marijuana,New Users,22,74.241,12_17
40262,Connecticut,2007,292219,Marijuana,New Users,17,65.952,12_17
40263,Delaware,2007,69899,Marijuana,New Users,3,53.768,12_17
40264,District of Columbia,2007,37001,Marijuana,New Users,2,68.32,12_17
40265,Florida,2007,1368710,Marijuana,New Users,64,51.703,12_17
40266,Georgia,2007,824664,Marijuana,New Users,37,52.416,12_17
40267,Hawaii,2007,95794,Marijuana,New Users,5,65.54,12_17
40268,Idaho,2007,132932,Marijuana,New Users,6,52.843,12_17
40269,Illinois,2007,1082534,Marijuana,New Users,52,54.559,12_17
40270,Indiana,2007,535015,Marijuana,New Users,27,58.043,12_17
40271,Iowa,2007,244378,Marijuana,New Users,11,45.071,12_17
40272,Kansas,2007,232244,Marijuana,New Users,11,52.933,12_17
40273,Kentucky,2007,339631,Marijuana,New Users,19,64.848,12_17
40274,Louisiana,2007,370852,Marijuana,New Users,17,45.225,12_17
40275,Maine,2007,102760,Marijuana,New Users,6,64.102,12_17
40276,Maryland,2007,469557,Marijuana,New Users,26,59.261,12_17
40277,Massachusetts,2007,506225,Marijuana,New Users,30,71.578,12_17
40278,Michigan,2007,869168,Marijuana,New Users,43,56.84,12_17
40279,Minnesota,2007,429517,Marijuana,New Users,19,48.991,12_17
40280,Mississippi,2007,256834,Marijuana,New Users,11,42.006,12_17
40281,Missouri,2007,488564,Marijuana,New Users,23,53.217,12_17
40282,Montana,2007,78003,Marijuana,New Users,4,67.982,12_17
40283,Nebraska,2007,147219,Marijuana,New Users,7,50.072,12_17
40284,Nevada,2007,213693,Marijuana,New Users,10,57.274,12_17
40285,New Hampshire,2007,109279,Marijuana,New Users,6,69.438,12_17
40286,New Jersey,2007,715118,Marijuana,New Users,30,41.979,12_17
40287,New Mexico,2007,167079,Marijuana,New Users,9,71.208,12_17
40288,New York,2007,1559314,Marijuana,New Users,78,57.224,12_17
40289,North Carolina,2007,730031,Marijuana,New Users,41,64.608,12_17
40290,North Dakota,2007,49767,Marijuana,New Users,2,51.15,12_17
40291,Ohio,2007,956958,Marijuana,New Users,51,59.706,12_17
40292,Oklahoma,2007,295908,Marijuana,New Users,14,48.585,12_17
40293,Oregon,2007,295639,Marijuana,New Users,17,70.909,12_17
40294,Pennsylvania,2007,998611,Marijuana,New Users,48,53.507,12_17
40295,Rhode Island,2007,83372,Marijuana,New Users,5,74.62,12_17
40296,South Carolina,2007,359862,Marijuana,New Users,16,48,12_17
40297,South Dakota,2007,66089,Marijuana,New Users,3,49.303,12_17
40298,Tennessee,2007,496878,Marijuana,New Users,22,48.04,12_17
40299,Texas,2007,2107904,Marijuana,New Users,91,48.825,12_17
40300,Utah,2007,248473,Marijuana,New Users,10,38.185,12_17
40301,Vermont,2007,49626,Marijuana,New Users,3,75.163,12_17
40302,Virginia,2007,612162,Marijuana,New Users,30,56.62,12_17
40303,Washington,2007,528584,Marijuana,New Users,25,53.76,12_17
40304,West Virginia,2007,134149,Marijuana,New Users,6,50.883,12_17
40305,Wisconsin,2007,460365,Marijuana,New Users,25,60.349,12_17
40306,Wyoming,2007,42535,Marijuana,New Users,2,64.904,12_17
40307,Alabama,2008,379377,Marijuana,New Users,16,44.659,12_17
40308,Alaska,2008,60678,Marijuana,New Users,3,63.478,12_17
40309,Arizona,2008,538865,Marijuana,New Users,27,61.007,12_17
40310,Arkansas,2008,231516,Marijuana,New Users,10,51.486,12_17
40311,California,2008,3147890,Marijuana,New Users,182,66.644,12_17
40312,Colorado,2008,384709,Marijuana,New Users,24,81.132,12_17
40313,Connecticut,2008,287870,Marijuana,New Users,18,70.949,12_17
40314,Delaware,2008,68911,Marijuana,New Users,4,66.653,12_17
40315,District of Columbia,2008,35726,Marijuana,New Users,2,72.511,12_17
40316,Florida,2008,1348640,Marijuana,New Users,65,53.453,12_17
40317,Georgia,2008,822696,Marijuana,New Users,37,54.625,12_17
40318,Hawaii,2008,93198,Marijuana,New Users,4,64.159,12_17
40319,Idaho,2008,132962,Marijuana,New Users,7,54.951,12_17
40320,Illinois,2008,1065750,Marijuana,New Users,52,56.544,12_17
40321,Indiana,2008,529845,Marijuana,New Users,27,58.131,12_17
40322,Iowa,2008,240105,Marijuana,New Users,12,53.415,12_17
40323,Kansas,2008,229136,Marijuana,New Users,12,56.542,12_17
40324,Kentucky,2008,336896,Marijuana,New Users,17,54.605,12_17
40325,Louisiana,2008,370950,Marijuana,New Users,15,38.883,12_17
40326,Maine,2008,99629,Marijuana,New Users,5,54.266,12_17
40327,Maryland,2008,459954,Marijuana,New Users,22,56.125,12_17
40328,Massachusetts,2008,498720,Marijuana,New Users,29,71.302,12_17
40329,Michigan,2008,842712,Marijuana,New Users,44,59.749,12_17
40330,Minnesota,2008,421196,Marijuana,New Users,19,48.539,12_17
40331,Mississippi,2008,252527,Marijuana,New Users,10,40.899,12_17
40332,Missouri,2008,482442,Marijuana,New Users,22,51.104,12_17
40333,Montana,2008,76196,Marijuana,New Users,4,66.719,12_17
40334,Nebraska,2008,144863,Marijuana,New Users,7,44.827,12_17
40335,Nevada,2008,214026,Marijuana,New Users,12,71.596,12_17
40336,New Hampshire,2008,106508,Marijuana,New Users,6,62.904,12_17
40337,New Jersey,2008,702953,Marijuana,New Users,34,48.922,12_17
40338,New Mexico,2008,163513,Marijuana,New Users,10,78.446,12_17
40339,New York,2008,1535172,Marijuana,New Users,81,60.525,12_17
40340,North Carolina,2008,727969,Marijuana,New Users,41,62.377,12_17
40341,North Dakota,2008,48559,Marijuana,New Users,2,42.82,12_17
40342,Ohio,2008,939669,Marijuana,New Users,46,55.93,12_17
40343,Oklahoma,2008,293240,Marijuana,New Users,14,48.654,12_17
